No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
699,WISEA J122702.36+552307.4,12h27m02.3631s,+55d23m07.403s,186.7598463,55.3853898,G,56136.1377605,0.18725,SLS,1,0,36,5,1,4,0,0,0,0
700,WISEA J120718.40+543328.8,12h07m18.4074s,+54d33m28.805s,181.8266977,54.5580014,G,48365.817041598,0.161331,SLS,1,0,45,6,2,6,0,0,1,0
701,WISEA J123547.18+514820.7,12h35m47.2106s,+51d48m20.080s,188.9467108989,51.8055777779,G,13366.546532388,0.044586,SLS,1,0,33,5,1,4,0,0,0,0
702,WISEA J132426.25+505342.8,13h24m26.2564s,+50d53m42.855s,201.109402,50.8952376,G,26359.851454566,0.087927,SLS,1,0,16,5,2,0,0,0,0,0
703,WISEA J120022.81+514719.7,12h00m22.8103s,+51d47m19.759s,180.0950431,51.7888221,G,20676.086243344,0.068968,SLS,1,0,31,4,1,4,0,0,0,0
704,WISEA J115130.43+520818.8,11h51m30.4713s,+52d08m18.547s,177.8769641,52.1384854,G,20120.4808809326,0.0671147,SLS,1,0,31,5,2,4,0,0,0,0
705,SDSS J125305.45+515000.2,12h53m05.4569s,+51d50m00.217s,193.2727371938,51.8333936634,G,0.0,0.0,SLS,1,0,9,3,1,4,0,0,0,0
706,WISEA J124336.81+515904.8,12h43m36.8125s,+51d59m04.858s,190.9033855,51.9846829,G,46915.121337336,0.156492,SLS,1,0,36,5,1,4,0,0,0,0
707,2MASX J12015991+5524382,12h01m59.8944s,+55d24m37.800s,180.49956,55.4105,G,51394.320452314,0.171433,SLS,3,0,30,5,3,6,0,0,1,0
708,WISEA J130902.11+511825.6,13h09m02.1193s,+51d18m25.663s,197.2588305,51.3071288,G,45558.860257344,0.151968,SLS,1,0,36,8,4,4,0,0,0,0
709,WISEA J132627.83+514746.4,13h26m27.8603s,+51d47m46.954s,201.6160849455,51.7963763045,G,23473.449668942,0.078299,SLS,1,0,31,4,1,4,0,0,0,0
710,WISEA J120018.98+511516.3,12h00m18.9856s,+51d15m16.339s,180.0791069,51.2545386,G,32367.392520428,0.107966,SLS,1,0,16,5,2,0,0,0,0,0
711,WISEA J130248.83+512609.9,13h02m48.8335s,+51d26m09.913s,195.703473,51.4360872,G,35234.2598294887,0.11752884,SLS,13,0,63,8,7,10,0,0,1,1
712,SDSS J124233.63+514223.1,12h42m33.6392s,+51d42m23.116s,190.6401633265,51.7064211943,G,41644.470133238,0.138911,SLS,1,0,19,3,1,4,0,0,0,0
713,WISEA J122813.18+512705.7,12h28m13.1804s,+51d27m05.794s,187.0549185,51.4516096,G,26377.23941713,0.087985,SLS,1,0,12,3,1,0,0,0,0,0
714,WISEA J124505.96+560228.4,12h45m05.9631s,+56d02m28.474s,191.2748466,56.0412428,G,34729.157504552,0.115844,SLS,1,0,27,3,1,4,0,0,0,0
715,WISEA J125114.90+551921.7,12h51m14.8028s,+55d19m20.910s,192.8116783144,55.3224752405,G,19156.7380662,0.0639,SLS,1,0,27,3,1,4,0,0,0,0
716,WISEA J120048.75+512658.0,12h00m48.7553s,+51d26m58.083s,180.2031471,51.4494676,G,19668.183999548,0.065606,SLS,1,0,31,4,1,4,0,0,0,0
717,GALEXASC J125722.45+520044.5,12h57m22.4500s,+52d00m43.700s,194.343541666667,52.0121388888889,G,425405.497902,1.419,SLS,3,0,3,4,2,0,0,0,0,0
718,WISEA J123510.43+514049.3,12h35m10.4763s,+51d40m49.021s,188.7936514858,51.6802837901,G,26093.635751862,0.087039,SLS,1,0,33,5,1,4,0,0,0,0
